,id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,pass,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,possession.attack,carry.progression,carry.endLocation.x,carry.endLocation.y,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,possession,infraction.opponent,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper.id,shot.goalkeeper.name,shot.goalkeeper
152,1798755477,5414284,1H,9,43,00:09:43.437,585.437814,1798755479.0,,,,,,duel,['aerial_duel'],85,9,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,62235,J. Magennis,CF,,,,,,,,,,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,2.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,505514.0,Ž. Karničnik,RB,184.0,True,188.0,1798754827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1798754829,5414284,1H,9,44,00:09:44.687,586.687243,1798755480.0,,,,,,duel,"['defensive_duel', 'ground_duel']",15,82,12046,Slovenia,4-4-2,10962,Northern Ireland,4-1-4-1,85327,M. Blažič,RCB,,,,,,,,,,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,3.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,590562.0,D. Taylor,LW,defensive_duel,,,True,False,False,,1798755479.0,,,,,,,,,,,,,,,,,,
154,1798755479,5414284,1H,9,44,00:09:44.687,586.687243,1798755480.0,,,,,,duel,"['ground_duel', 'offensive_duel']",85,18,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,590562,D. Taylor,LW,,,,,,,,,,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,4.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,85327.0,M. Blažič,RCB,offensive_duel,True,False,,,False,,1798754829.0,,,,,,,,,,,,,,,,,,
155,1798755480,5414284,1H,9,48,00:09:48.118,590.118604,1798755482.0,,,,,,pass,"['back_pass', 'short_or_medium_pass']",80,8,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,424246,J. Lewis,LB,True,171.0,,12.0,289193.0,J. Thompson,LCMF,69.0,11.0,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,5.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1798755482,5414284,1H,9,51,00:09:51.714,593.714066,1798755484.0,,,,,,pass,"['forward_pass', 'short_or_medium_pass']",69,11,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,289193,J. Thompson,LCMF,True,-30.0,,8.0,424246.0,J. Lewis,LB,75.0,4.0,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,6.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1798755484,5414284,1H,9,53,00:09:53.480,595.480233,1798755485.0,,,,,,touch,['carry'],75,4,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,424246,J. Lewis,LB,,,,,,,,,,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,7.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,-1.97,68.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1798755485,5414284,1H,9,55,00:09:55.169,597.169997,1798755486.0,,,,,,pass,"['forward_pass', 'short_or_medium_pass']",68,11,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,424246,J. Lewis,LB,True,45.0,,9.0,289193.0,J. Thompson,LCMF,74.0,20.0,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,8.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1798754832,5414284,1H,9,55,00:09:55.949,597.949901,1798754835.0,,,,,,duel,"['defensive_duel', 'ground_duel']",26,80,12046,Slovenia,4-4-2,10962,Northern Ireland,4-1-4-1,399609,A. Čerin,RCMF,,,,,,,,,,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,9.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,289193.0,J. Thompson,LCMF,defensive_duel,,,True,False,False,,1798755486.0,,,,,,,,,,,,,,,,,,
160,1798755486,5414284,1H,9,55,00:09:55.949,597.949901,1798755488.0,,,,,,duel,"['ground_duel', 'offensive_duel', 'carry']",74,20,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,289193,J. Thompson,LCMF,,,,,,,,,,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,10.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,-3.397,67.0,29.0,399609.0,A. Čerin,RCMF,offensive_duel,True,False,,,False,,1798754832.0,,,,,,,,,,,,,,,,,,
161,1798754835,5414284,1H,9,57,00:09:57.627,599.62735,1798755489.0,,,,,,duel,"['defensive_duel', 'ground_duel']",29,74,12046,Slovenia,4-4-2,10962,Northern Ireland,4-1-4-1,590472,B. Šeško,SS,,,,,,,,,,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,11.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,289193.0,J. Thompson,LCMF,defensive_duel,,,True,False,False,,1798755488.0,,,,,,,,,,,,,,,,,,
